hour,day,temperature,weather,rides
6,Sunday,27.707918166568675,Cloudy,111
19,Monday,22.99740246914967,Sunny,215
14,Tuesday,39.53054222208712,Cloudy,252
10,Saturday,14.487419280026973,Rainy,123
7,Saturday,23.937957899074306,Sunny,132
20,Friday,30.41369879077976,Rainy,221
6,Saturday,21.86635251639906,Sunny,149
18,Wednesday,39.240995556120694,Cloudy,276
22,Sunday,31.65662883780805,Rainy,263
10,Thursday,29.709515726934793,Sunny,171
10,Friday,32.711778028336695,Sunny,177
23,Wednesday,38.57945914116151,Cloudy,378
20,Wednesday,37.2345595895392,Cloudy,305
3,Monday,31.728559243792358,Cloudy,95
7,Saturday,32.47484917303849,Rainy,133
23,Tuesday,14.377662221054363,Sunny,228
2,Tuesday,13.08377213477997,Cloudy,24
21,Friday,27.127135055324928,Rainy,241
20,Sunday,10.5510291082162,Rainy,155
1,Tuesday,24.470691446547747,Rainy,33
23,Thursday,16.310487397566057,Cloudy,220
11,Tuesday,20.380497029345186,Cloudy,130
5,Friday,33.27414207378868,Sunny,129
1,Tuesday,38.23712512697159,Sunny,113
20,Thursday,12.172488164390245,Cloudy,162
0,Monday,26.027266179293353,Rainy,38
11,Sunday,36.476004574588,Rainy,205
21,Friday,12.475256033212638,Rainy,153
11,Monday,34.73542140690502,Sunny,184
16,Monday,20.73404052784814,Rainy,162
9,Monday,19.66284106658006,Sunny,114
15,Wednesday,39.32399158944357,Sunny,257
14,Sunday,16.025772695868824,Rainy,125
14,Saturday,30.795818224680428,Rainy,251
18,Sunday,34.64322184029599,Cloudy,255
11,Wednesday,11.23550485837815,Cloudy,86
22,Saturday,30.111563750632367,Rainy,316
19,Sunday,38.546499230659805,Sunny,264
2,Monday,13.72659900184178,Sunny,24
4,Friday,36.88663908055115,Sunny,140
18,Saturday,27.843299121308082,Sunny,274
6,Thursday,28.49813745587422,Sunny,116
20,Thursday,28.38832524596818,Cloudy,273
8,Tuesday,18.965076590119416,Rainy,72
6,Saturday,38.056054458983795,Cloudy,192
